friend_recommend,lat,long
60.53846154,42.3584308,-71.0597732
60,42.3764852,-71.2356113
36,42.0028761,-71.5147839
60,41.7637111,-72.6850932
55,41.2223194,-73.0564953
35,41.1175966,-73.4078968
63,41.0264862,-73.6284598
63,41.1264849,-73.7140195
62,42.7470225,-73.7590088
58.71527778,40.76149276,-73.98143112
72,40.8975992,-74.0159727
49,40.9039878,-74.118476
43,40.6976019,-74.2632024
72,40.6764911,-74.2907032
69,40.8206555,-74.2937595
42.5,40.8578772,-74.4259866
53,40.8217665,-74.4809884
47,40.9012101,-74.5143232
66,40.7062122,-74.5493233
68,40.5695474,-74.6329363
66,40.3487181,-74.6590472
55.86486486,39.952335,-75.163789
71,39.9167783,-75.387693
39.5,40.2737002,-76.8844179
44,38.8048356,-77.0469214
58,38.9692771,-77.0788667
56.66666667,38.8903896,-77.0841446
76,38.882334,-77.1710914
70.4,38.9342776,-77.1774801
58,39.1434406,-77.2013705
76,38.9012225,-77.2652604
54,38.8462236,-77.3063733
33.5,38.9687213,-77.3410958
49.33333333,38.9695545,-77.3860976
58,38.8942786,-77.4310992
59.47058824,37.5537575,-77.4602617
73,36.0956918,-79.4377991
46,37.2709704,-79.9414267
53.5,40.4406248,-79.9958864
72,36.0998596,-80.244216
37,35.2270869,-80.8431268
55.26829268,30.3321838,-81.655651
71,28.0394654,-81.9498042
66,27.9475216,-82.4584279
51,40.0811745,-82.8087864
47,39.9611755,-82.9987942
47,36.8431441,-83.321848
45,41.6639383,-83.555212
50,34.0028787,-84.1446376
61.54385965,33.7489954,-84.3879824
62.54166667,39.1146631,-84.52968641
57.70833333,42.732535,-84.5555347
59,32.4609764,-84.9877094
55.5,38.2542376,-85.759407
79,39.2014405,-85.9213796
47,39.6136578,-86.1066526
48.66666667,39.7683765,-86.1580423
60,36.2081098,-86.2911024
35,36.3883809,-86.4466599
77,36.0156178,-86.5819394
39,36.3231067,-86.7133302
52.5,36.0331164,-86.7827772
56.31578947,36.1658899,-86.7844432
37,35.9250637,-86.86889
60.30769231,41.850033,-87.6500523
67,42.0411414,-87.6900587
55,41.8328085,-87.9289504
51,40.4842027,-88.9936873
58,40.6936488,-89.5889864
76,39.4347699,-89.9959401
72,35.1495343,-90.0489801
57.9,38.6272733,-90.1978889
50,32.5093109,-92.1193012
64,44.7433008,-92.8524273
21,44.9630216,-92.9649361
50,44.9444101,-93.0932742
56,45.0791325,-93.1471668
51.25,44.8041322,-93.1668858
57.5625,44.9799654,-93.2638361
78,44.8832982,-93.2830021
56,37.215326,-93.2982436
55.6,44.840798,-93.2982799
75,45.0096869,-93.349117
57,44.8896866,-93.3499489
72.75,45.0105194,-93.4555093
42,44.8546856,-93.470786
51.4,44.92917226,-93.48284337
66,44.97413,-93.5066217
48,44.8621853,-93.5307883
56,36.3728538,-94.2088172
54.09090909,39.0997266,-94.5785667
58.01538462,29.7632836,-95.3632715
53,36.157929,-96.01655809
52,33.0198431,-96.6988856
60.23255814,32.7830556,-96.8066667
18,32.725409,-97.3208496
64,35.4715076,-97.54021069
88,30.267153,-97.7430608
49.66666667,35.2219971,-101.8312969
59.6,39.7391536,-104.9847034
68,39.6477653,-104.9877597
41,33.4483771,-112.0740373
69,36.1749705,-115.137223
62.875,32.7153292,-117.1572551
50.66666667,33.6694649,-117.8231107
52.5,34.0522342,-118.2436849
71,34.1705609,-118.8375937
74,37.3393857,-121.8949555
53,37.7799273,-121.9780153
80,37.3229978,-122.0321823
80,47.5301011,-122.0326191
67.33333333,37.3688301,-122.0363496
73,47.6739882,-122.121512
93,37.4538274,-122.1821871
81,47.610377,-122.2006786
74,47.6814876,-122.2087353
51,37.5629917,-122.3255254
64.81818182,47.6062095,-122.3320708
65.68503937,37.7749295,-122.4194155
83,45.487062,-122.8037102